teamNumber,points2019,epa2019,opr2019
1114,54,1959,33.34
2056,54,2032,44.69
195,46,1840,37.24
2481,43,1867,40.95
2767,43,1855,32.34
1720,38,1734,24.65
225,35,1863,32.45
3538,35,1958,32.53
930,35,1778,35.5
2168,33,1813,36.25
319,33,1772,33.15
1023,28,1763,29.68
5406,28,1860,37.92
1807,27,1793,32.73
6443,27,1720,29.62
2910,26,1972,40.08
1073,25,1630,14.27
2403,25,1740,31.54
4028,25,1666,32.31
2468,24,1728,30.93
330,22,1817,29.82
3357,21,1670,37.82
1241,20,1777,32.88
1690,19,1818,41.9
910,18,1816,27.27
111,17,1712,31.85
118,17,1746,23.17
33,16,1824,23.91
5190,12,1745,24.96
107,10,1692,24.91
5460,9,1963,23.78
3847,8,1707,31.98
1024,0,1568,24.14
1410,0,1639,14.93
1676,0,1730,30.77
1684,0,1682,29.94
1718,0,1703,21.85
1730,0,1645,21.04
1747,0,1630,31.27
1923,0,1644,20.44
2075,0,1755,29.28
217,0,1723,5.9
2337,0,1659,27.24
234,0,1728,20.64
2614,0,1592,19.71
340,0,1755,32.0
3478,0,1654,28.98
3604,0,1712,32.97
364,0,1887,37.04
3641,0,1772,24.5
3707,0,1916,23.99
3940,0,1693,28.19
4265,0,1618,26.02
4362,0,1730,34.61
4607,0,1668,23.19
461,0,1673,16.1
4776,0,1716,30.75
48,0,1613,28.83
5010,0,1681,22.36
51,0,1635,27.51
5205,0,1656,35.58
548,0,1714,23.83
5511,0,1590,29.51
5801,0,1689,23.23
7457,0,1697,21.89
7498,0,1700,27.23
868,0,1684,30.35
88,0,1677,25.22
