teamNumber,points2017,points2018,points2019,points2022,epa2017,epa2018,epa2019,epa2022,epa2023,opr2017,opr2018,opr2019,opr2022
1619,52.0,30.0,,,1836.0,1800.0,,,,139.44,145.35,,
195,52.0,54.0,46.0,27.0,1971.0,1886.0,1840.0,1720.0,1833.0,145.98,189.6,37.24,40.14
118,44.0,33.0,17.0,29.0,1972.0,1897.0,1746.0,1863.0,1827.0,106.13,106.53,23.17,46.32
2590,44.0,30.0,,,1713.0,1886.0,,,,100.91,121.5,,
2767,44.0,,43.0,32.0,1731.0,,1855.0,1850.0,1853.0,132.7,,32.34,43.13
1710,36.0,0.0,,,1576.0,1620.0,,,,65.4,124.13,,
2056,36.0,54.0,54.0,53.0,2070.0,1967.0,2032.0,1873.0,1995.0,152.15,215.61,44.69,62.38
2337,36.0,20.0,0.0,,1574.0,1802.0,1659.0,,,131.1,117.47,27.24,
3452,36.0,0.0,,,1782.0,1777.0,,,,106.9,109.48,,
2122,34.0,,,,1829.0,,,,,128.83,,,
1114,33.0,,54.0,,1907.0,,1959.0,,,147.58,,33.34,
1018,28.0,,,,1858.0,,,,,93.4,,,
340,28.0,38.0,0.0,16.0,1718.0,1815.0,1755.0,1735.0,,120.88,129.68,32.0,45.29
2451,27.0,0.0,,,1581.0,1705.0,,,,117.11,118.02,,
1885,26.0,,,,1781.0,,,,,91.73,,,
2481,26.0,22.0,43.0,,1882.0,1886.0,1867.0,,1817.0,114.63,115.34,40.95,
33,25.0,28.0,16.0,44.0,1959.0,1713.0,1824.0,1812.0,1767.0,110.2,132.86,23.91,56.45
3847,25.0,0.0,8.0,,1561.0,1632.0,1707.0,,,104.35,112.92,31.98,
125,24.0,,,,1883.0,,,,,154.56,,,
5406,24.0,27.0,28.0,24.0,1727.0,1841.0,1860.0,1771.0,,99.19,123.91,37.92,48.05
225,23.0,38.0,35.0,,1731.0,1839.0,1863.0,,,100.92,137.11,32.45,
4272,22.0,,,,1676.0,,,,1784.0,137.73,,,
1732,20.0,,,17.0,1779.0,,,1766.0,1755.0,95.59,,,45.65
469,19.0,0.0,,,1739.0,1605.0,,,1698.0,122.45,137.96,,
2168,18.0,46.0,33.0,,1864.0,1766.0,1813.0,,,109.89,123.79,36.25,
4028,18.0,28.0,25.0,25.0,1694.0,1745.0,1666.0,1763.0,1846.0,132.27,158.86,32.31,44.64
384,17.0,0.0,,,1619.0,1717.0,,,1702.0,115.8,97.33,,
1746,16.0,0.0,,,1743.0,1651.0,,,1736.0,96.82,104.74,,
2614,11.0,32.0,0.0,0.0,1643.0,1778.0,1592.0,1767.0,1684.0,104.89,169.61,19.71,23.21
365,10.0,,,,1828.0,,,,,107.02,,,
292,9.0,,,,1631.0,,,,,94.89,,,
910,8.0,,18.0,,1612.0,,1816.0,,,80.46,,27.27,
1024,0.0,36.0,0.0,0.0,1639.0,1721.0,1568.0,1595.0,1718.0,133.3,145.33,24.14,35.2
107,0.0,,10.0,,1641.0,,1692.0,,,133.05,,24.91,
1080,0.0,,,,1560.0,,,,,108.16,,,
1477,0.0,,,,1647.0,,,,,59.51,,,
1506,0.0,,,,1699.0,,,,,62.66,,,
1511,0.0,,,,1563.0,,,,,94.51,,,
1640,0.0,12.0,,,1591.0,1746.0,,,,75.79,111.81,,
1675,0.0,,,,1583.0,,,,,95.29,,,
1676,0.0,,0.0,,1698.0,,1730.0,,,117.36,,30.77,
1720,0.0,0.0,38.0,0.0,1630.0,1560.0,1734.0,1488.0,,80.07,29.63,24.65,28.68
1806,0.0,0.0,,,1708.0,1726.0,,,,105.7,120.04,,
191,0.0,,,,1604.0,,,,,89.22,,,
1987,0.0,,,13.0,1611.0,,,1722.0,1842.0,119.78,,,40.24
2137,0.0,,,,1623.0,,,,,103.56,,,
2169,0.0,,,,1743.0,,,,,133.1,,,
217,0.0,29.0,0.0,,1675.0,1822.0,1723.0,,,88.23,112.94,5.9,
2194,0.0,,,,1709.0,,,,,86.44,,,
234,0.0,0.0,0.0,0.0,1582.0,1737.0,1728.0,1569.0,1636.0,130.79,132.04,20.64,26.82
2468,0.0,0.0,24.0,20.0,1535.0,1623.0,1728.0,1740.0,1865.0,93.79,47.91,30.93,40.87
2791,0.0,0.0,,,1610.0,1758.0,,,,107.38,91.26,,
2832,0.0,,,,1703.0,,,,,99.17,,,
3478,0.0,0.0,0.0,,1633.0,1821.0,1654.0,,,107.99,97.13,28.98,
3824,0.0,,,,1708.0,,,,,124.68,,,
4039,0.0,,,,1619.0,,,,1790.0,116.88,,,
4143,0.0,,,17.0,1778.0,,,1719.0,1840.0,93.85,,,46.21
4188,0.0,,,,1611.0,,,,,85.7,,,
4206,0.0,,,,1755.0,,,,,108.26,,,
4265,0.0,0.0,0.0,0.0,1653.0,1684.0,1618.0,1711.0,,79.52,123.53,26.02,38.18
4587,0.0,17.0,,,1675.0,1697.0,,,,94.94,108.7,,
48,0.0,,0.0,,1553.0,,1613.0,,,81.86,,28.83,
4967,0.0,0.0,,,1715.0,1618.0,,,,120.33,86.3,,
503,0.0,,,0.0,1593.0,,,1724.0,,97.53,,,35.0
51,0.0,,0.0,,1745.0,,1635.0,,1824.0,105.93,,27.51,
5842,0.0,,,,1697.0,,,,,71.64,,,
67,0.0,8.0,,28.0,1836.0,1765.0,,1899.0,,78.32,143.72,,48.6
829,0.0,0.0,,0.0,1771.0,1616.0,,1595.0,,92.91,47.67,,32.63
3357,,32.0,21.0,37.0,,1835.0,1670.0,1738.0,1784.0,,113.23,37.82,34.52
2771,,31.0,,,,1668.0,,,,,119.45,,
319,,29.0,33.0,,,1815.0,1772.0,,,,170.83,33.15,
1747,,25.0,0.0,,,1802.0,1630.0,,,,92.06,31.27,
302,,24.0,,,,1741.0,,,,,109.65,,
3538,,24.0,35.0,33.0,,1804.0,1958.0,1753.0,1903.0,,131.94,32.53,45.56
868,,22.0,0.0,,,1737.0,1684.0,,,,101.3,30.35,
1533,,21.0,,28.0,,1743.0,,1690.0,,,95.67,,44.44
3707,,21.0,0.0,,,1841.0,1916.0,,,,140.84,23.99,
1706,,16.0,,44.0,,1759.0,,1813.0,1783.0,,89.24,,51.68
2655,,16.0,,,,1665.0,,,,,134.79,,
133,,14.0,,,,1818.0,,,,,105.37,,
494,,13.0,,,,1759.0,,,,,123.49,,
1102,,0.0,,,,1709.0,,,,,81.13,,
1218,,0.0,,,,1678.0,,,,,107.8,,
1731,,0.0,,,,1706.0,,,1807.0,,98.93,,
1741,,0.0,,,,1716.0,,,,,77.7,,
20,,0.0,,,,1651.0,,,,,109.36,,
2013,,0.0,,,,1704.0,,,,,53.61,,
2363,,0.0,,12.0,,1592.0,,1770.0,,,49.38,,38.53
245,,0.0,,,,1628.0,,,1758.0,,126.76,,
2826,,0.0,,,,1654.0,,,,,92.73,,
2834,,0.0,,,,1703.0,,,,,92.84,,
359,,0.0,,,,1725.0,,,,,99.76,,
3641,,0.0,0.0,,,1725.0,1772.0,,1769.0,,118.01,24.5,
3940,,0.0,0.0,0.0,,1618.0,1693.0,1721.0,1725.0,,69.62,28.19,31.7
4499,,0.0,,28.0,,1604.0,,1777.0,1795.0,,90.52,,52.91
4944,,0.0,,,,1668.0,,,,,97.71,,
5254,,0.0,,,,1648.0,,,,,126.54,,
624,,0.0,,21.0,,1795.0,,1861.0,,,87.81,,31.4
6800,,0.0,,,,1627.0,,,,,83.86,,
694,,0.0,,0.0,,1896.0,,1768.0,,,161.75,,37.8
708,,0.0,,,,1631.0,,,,,134.73,,
865,,0.0,,,,1710.0,,,,,129.0,,
88,,0.0,0.0,,,1643.0,1677.0,,,,125.37,25.22,
930,,,35.0,,,,1778.0,,1879.0,,,35.5,
1023,,,28.0,25.0,,,1763.0,1726.0,1696.0,,,29.68,50.23
1807,,,27.0,,,,1793.0,,,,,32.73,
6443,,,27.0,,,,1720.0,,,,,29.62,
2910,,,26.0,,,,1972.0,,1848.0,,,40.08,
1073,,,25.0,,,,1630.0,,,,,14.27,
2403,,,25.0,,,,1740.0,,,,,31.54,
330,,,22.0,,,,1817.0,,,,,29.82,
1241,,,20.0,,,,1777.0,,,,,32.88,
1690,,,19.0,,,,1818.0,,1784.0,,,41.9,
111,,,17.0,,,,1712.0,,1906.0,,,31.85,
5190,,,12.0,,,,1745.0,,,,,24.96,
