teamNumber,points2017,points2018,points2019,points2022,epa2017,epa2018,epa2019,epa2022,epa2023,opr2017,opr2018,opr2019,opr2022
1619,52,30,19.986484340969135,43.70860927152318,1836,1800,1800,1800,1800,139.44,145.35,32.85778025655326,56.07615894039735
195,52,54,46,27,1971,1886,1840,1720,1833,145.98,189.6,37.24,40.14
118,44,33,17,29,1972,1897,1746,1863,1827,106.13,106.53,23.17,46.32
2590,44,30,45.728707414687065,30.934391534391533,1713,1886,1886,1886,1886,100.91,121.5,37.02037095919449,45.78289947089947
2767,44,15.726071099935202,43,32,1731,1793,1855,1850,1853,132.7,87.71216155988859,32.34,43.13
1710,36,27.047938019530307,12.525078444423317,30.593514448165113,1576,1620,1620,1620,1620,65.4,124.13,26.052163164400497,18.811612106238417
2056,36,54,54,53,2070,1967,2032,1873,1995,152.15,215.61,44.69,62.38
2337,36,20,17.98019801980198,11.987418048048387,1574,1802,1659,1659,1659,131.1,117.47,27.24,38.48960144927536
3452,36,23.962790697674418,20,28,1782,1777,1777,1777,1777,106.9,109.48,32.88,52.91
2122,34,28.979397948996574,16.04385964912281,53.40881542699724,1829,1829,1829,1829,1829,128.83,112.85976566757493,23.975542763157897,64.66497520661157
1114,33,53.0665988815455,54,24.952988763536073,1907,1933,1959,1959,1959,147.58,211.88313675648197,33.34,50.13554502369668
1018,28,27.24932102118414,27.96989247311828,20.966147232670608,1858,1858,1858,1858,1858,93.4,125.05419880499728,37.879225806451615,31.34938205265986
340,28,38,8.005003126954346,16,1718,1815,1755,1735,1735,120.88,129.68,32,45.29
2451,27,20.093640929599047,7.9906268306971295,11.849295629582967,1581,1705,1705,1705,1705,117.11,118.02,31.942530755711775,38.046113383985976
1885,26,32.05399325084365,35.05905511811024,24,1781,1781,1781,1781,1781,91.73,169.89618110236222,35.55989876265467,48.07
2481,26,22,43,23.946185069828193,1882,1886,1867,1842,1817,114.63,115.34,40.95,42.943491891891895
33,25,28,16,44,1959,1713,1824,1812,1767,110.2,132.86,23.91,56.45
3847,25,28.994864529838853,8,11.86319509659714,1561,1632,1707,1707,1707,104.35,112.92,31.98,38.090742255990655
125,24,53.914103923647936,45.65596821943571,17.022371506226932,1883,1883,1883,1883,1883,154.56,189.2984093319194,36.96148383677795,45.71007407407408
5406,24,27,28,24,1727,1841,1860,1771,1771,99.19,123.91,37.92,48.05
225,23,38,35,29,1731,1839,1863,1863,1863,100.92,137.11,32.45,46.32
4272,22,31.22531572139009,8.014125637640335,23.99322416713721,1676,1730,1757,1770.5,1784,137.73,120.31819235225956,32.03646723646724,48.03643421795595
1732,20,23.902108335187343,32.948786681715575,17,1779,1772.5,1769.25,1766,1755,95.59,109.20275745638718,33.09855389390519,45.65
469,19,38.23557727372183,26.376682027160637,8.00836820083682,1739,1605,1651.5,1674.75,1698,122.45,137.96,28.936197097944376,35.85746861924686
2168,18,46,33,44,1864,1766,1813,1813,1813,109.89,123.79,36.25,51.68
4028,18,28,25,25,1694,1745,1666,1763,1846,132.27,158.86,32.31,44.64
384,17,21.36437754782063,8.011716461628588,11.854507929713282,1619,1717,1709.5,1705.75,1702,115.8,97.33,32.026836555360276,38.06284921098773
1746,16,13.916294960614975,25.70407789870751,11.917055531277061,1743,1651,1693.5,1714.75,1736,96.82,104.74,28.19832545776728,38.263679135008765
2614,11,32,14.461372464393612,37.74665702927358,1643,1778,1592,1767,1684,104.89,169.61,19.71,23.21
365,10,28.96355355427323,16.035087719298247,53.379614325068864,1828,1828,1828,1828,1828,107.02,112.7980599455041,23.962434210526318,64.62961983471074
292,9,15.992877809926553,24.801192175871716,44.780353874313604,1631,1631,1631,1631,1631,94.89,134.73,31.289184049079754,27.534942037827946
910,8,28.01634559252773,18,53.02920110192837,1612,1714,1816,1816,1816,80.46,132.9375598365441,27.27,64.20535537190082
1024,44.19894498869631,36,16.15391049769971,19.83657368272753,1639,1721,1568,1595,1718,133.3,145.33,24.14,35.2
107,44.11605124340618,30.972122302158272,10,27.773177317731776,1641,1666.5,1692,1692,1692,133.05,119.3425809352518,24.91,44.08
1080,10.106522145393384,5.312415956969969,16.07149258699716,43.36743966206472,1560,1560,1560,1560,1560,108.16,29.63,24.01683673469388,26.666156787762908
1477,32.757798165137615,27.556345997290553,15.455971916310395,45.21964612568639,1647,1647,1647,1647,1647,59.51,126.46321601941749,21.06558054711246,27.805057962172054
1506,34.49174311926605,17.02003535651149,17.963024655406716,11.807597228540446,1699,1699,1699,1699,1699,62.66,108.82810842663524,27.213982352941176,37.91222676797195
1511,8.963958267467595,5.322632141502603,16.102399303510616,43.45083858449176,1563,1563,1563,1563,1563,94.51,29.686980769230768,24.063022959183673,26.717437858508607
1640,7.535669898086007,12,17,20.068965517241377,1591,1746,1746,1746,1746,75.79,111.81,23.17,41.01093103448275
1675,19.937231928025945,8.803378163790715,26.78130342833119,38.234066584419644,1583,1583,1583,1583,1583,95.29,49.10084170854272,29.38008176100629,23.509702719797595
1676,27.05763811800871,28.01634559252773,23.87584869059166,15.98152424942263,1698,1714,1730,1730,1730,117.36,132.9375598365441,30.77,40.81281755196304
1720,7.961222967934377,5.312415956969969,38,46.64257318395374,1630,1560,1734,1488,1488,80.07,29.63,24.65,28.68
1806,43.821728069348914,31.15311845960653,15.126192873927012,25,1708,1726,1726,1726,1726,105.7,120.04,20.61611111111111,50.23
191,25.28856426468985,16.229493500672344,26.133245536665502,19.948504192536024,1604,1604,1604,1604,1604,89.22,90.52,28.669138251704897,35.398620689655175
1987,27.745201853077432,30.972122302158272,25.715461458450076,13,1611,1666.5,1694.25,1722,1842,119.78,119.3425809352518,28.210813644418195,40.24
2137,24.810733109726883,8.589870013446884,12.54827303413521,30.650169104550603,1623,1623,1623,1623,1623,103.56,47.91,26.100407911001238,18.84644842495367
