teamNumber,points
1114,54
2056,54
195,46
2481,43
2767,43
1720,38
225,35
3538,35
930,35
2168,33
319,33
1023,28
5406,28
1807,27
6443,27
2910,26
1073,25
2403,25
4028,25
2468,24
330,22
3357,21
1241,20
1690,19
910,18
111,17
118,17
33,16
5190,12
107,10
5460,9
3847,8
1024,0
1410,0
1676,0
1684,0
1718,0
1730,0
1747,0
1923,0
2075,0
217,0
2337,0
234,0
2614,0
340,0
3478,0
3604,0
364,0
3641,0
3707,0
3940,0
4265,0
4362,0
4607,0
461,0
4776,0
48,0
5010,0
51,0
5205,0
548,0
5511,0
5801,0
7457,0
7498,0
868,0
88,0
