teamNumber,normalizedEpa
2056,2070
118,1972
195,1971
33,1959
1114,1907
125,1883
2481,1882
2168,1864
1018,1858
67,1836
1619,1836
2122,1829
365,1828
3452,1782
1885,1781
1732,1779
4143,1778
829,1771
4206,1755
51,1745
2169,1743
1746,1743
469,1739
225,1731
2767,1731
5406,1727
340,1718
4967,1715
2590,1713
2194,1709
1806,1708
3824,1708
2832,1703
1506,1699
1676,1698
5842,1697
4028,1694
4272,1676
4587,1675
217,1675
4265,1653
1477,1647
2614,1643
107,1641
1024,1639
3478,1633
292,1631
1720,1630
2137,1623
384,1619
4039,1619
910,1612
1987,1611
4188,1611
2791,1610
191,1604
503,1593
1640,1591
1675,1583
234,1582
2451,1581
1710,1576
2337,1574
1511,1563
3847,1561
1080,1560
48,1553
2468,1535
