teamNumber,opr
2056,44.69
1690,41.90
2481,40.95
2910,40.08
5406,37.92
3357,37.82
195,37.24
364,37.04
2168,36.25
5205,35.58
930,35.50
4362,34.61
1114,33.34
319,33.15
3604,32.97
1241,32.88
1807,32.73
3538,32.53
225,32.45
2767,32.34
4028,32.31
340,32.00
3847,31.98
111,31.85
2403,31.54
1747,31.27
2468,30.93
1676,30.77
4776,30.75
868,30.35
1684,29.94
330,29.82
1023,29.68
6443,29.62
5511,29.51
2075,29.28
3478,28.98
48,28.83
3940,28.19
51,27.51
910,27.27
2337,27.24
7498,27.23
4265,26.02
88,25.22
5190,24.96
107,24.91
1720,24.65
3641,24.50
1024,24.14
3707,23.99
33,23.91
548,23.83
5460,23.78
5801,23.23
4607,23.19
118,23.17
5010,22.36
7457,21.89
1718,21.85
1730,21.04
234,20.64
1923,20.44
2614,19.71
461,16.10
1410,14.93
1073,14.27
217,5.90
